paper_name,chunk
Research paper-1.pdf,"arXiv:2505.06971v1 [cs.CY] 11 May 2025 The promise and perils of AI in medicine Robert Sparrow 1 and Joshua Hatherley 2 1School of Philosophical, Historical, and International Studies, Monash University, Australia. 2Center for the Philosophy of AI, University of Copenhagen, Denmark. Abstract What does Artificial Intelligence (AI) have to contribute to health care? And what should we be looking out for if we are worried about its risks? In this paper we offer a survey, and initial evaluation, of hopes and fears about the applica- tions of artificial intelligence in medicine. AI clearly has enormous potential as a research tool, in genomics and public health especially, as well as a diagnostic aid. It’s also highly likely to impact on the organisational and business practices of healthcare systems in ways that are perhaps under-appreciated. Enthusiasts for AI have held out the prospect that it will free physicians up to spend more time attending to what really matters to them and their patients. We will argue that this claim depends upon implausible assumptions about the institutional and economic imperatives operating in contemporary healthcare settings. We will also highlight important concerns about privacy, surveillance, and bias in big data, as well as the risks of over trust in machines, the challenges of transparency, the deskilling of healthcare practitioners, the way AI reframes healthcare, and the implications of AI for the distribution of power in healthcare institutions. We will suggest that two questions, in particular, are deserving of further attention from philosophers and bioethicists. What does care look like when one is dealing with data as much as people? And, what weight should we give to the advice of machines in our own deliberations about medical decisions? This is a pre-print of: Sparrow, Robert, and Joshua Hatherley. 2019. The promise and perils of AI in"
Research paper-1.pdf,"does care look like when one is dealing with data as much as people? And, what weight should we give to the advice of machines in our own deliberations about medical decisions? This is a pre-print of: Sparrow, Robert, and Joshua Hatherley. 2019. The promise and perils of AI in medicine. International Journal of Chinese and Comparative Philosophy of Medicine , 17(2): 79-109. 10.24112/ijccpm.171678 11 Introduction AI encompasses a vast range of diverse technologies, and AI research cuts across a vari- ety of disciplines including computer science, philosophy of mind, logic, neuroscience, and theoretical biology. As such, a precise definition is difficult. For our purposes, though, it will suit to suggest that AI deals with the creation of machines capable of acting rationally or intelligently (Russell and Norvig 2016). Famously, the initiators of the AI research program in the mid-1950s thought that it would only take a few months to bear fruit. After some early successes, the 1970s and 80s saw a significant drop in funding and excitement about AI – the so-called AI winter. However, recent advances in machine learning, and especially “deep learn- ing”, prompted by the increase in available computing power and emergence of large datasets as a result of the Internet, have led to its re-emergence into the foreground of public awareness: an ‘AI spring’ is now blooming. Machine learning involves the creation of machines able to learn (semi-)autonomously from experience. Deep learn- ing is a type of machine learning technique that uses so-called ‘deep’ neural networks (i.e. networks consisting of multiple hidden layers) to generate impressively accurate predictions and classifications. These networks are inspired by the neural architec- ture of the human brain, in that they consist of a complex network of interconnected ‘neurons’. An important application of deep learning, especially relevant to the appli-"
Research paper-1.pdf,"networks (i.e. networks consisting of multiple hidden layers) to generate impressively accurate predictions and classifications. These networks are inspired by the neural architec- ture of the human brain, in that they consist of a complex network of interconnected ‘neurons’. An important application of deep learning, especially relevant to the appli- cations of AI in medicine, is natural language processing, which involves the creation of models able to identify, process, and perform actions in response to written text and/or to speech. Medicine is one of the areas where there is the most enthusiasm about the appli- cation of AI. There are at least four reasons for this. First, AI is heavily reliant upon the availability of large-scale, varied datasets – so-called ‘big’ data. The digitisation of modern healthcare has generated an enormous amount of data that AI can take advantage of. Data currently being stored in electronic health records, for instance, is expected to be the first port of call for large scale developments and applications of medical AI, in addition to the data that has proliferated from wearables (e.g. FitBits), online patient forums (e.g. PatientsLikeMe), even credit card transactions (Weber et al. 2014). Second, people care about — and are willing to spend money on — their health, meaning that there is money to be made. Technology corporations, small and large, are hoping to capitalise on this new domain of healthcare technology, and so are investing heavily. Third, by improving health, AI has significant potential to help people, so there are many good people passionately dedicating themselves to this end. Finally, governments are very concerned about the size of their healthcare budgets and hope that, by identifying which treatments work and which don’t as well as by discovering new drugs and new treatments, AI might help them reduce the cost"
Research paper-1.pdf,"are many good people passionately dedicating themselves to this end. Finally, governments are very concerned about the size of their healthcare budgets and hope that, by identifying which treatments work and which don’t as well as by discovering new drugs and new treatments, AI might help them reduce the cost of healthcare.1 1Unfortunately, the economics of healthcare suggests that technological advances in medicine actually contribute to, rather than reduce, the total cost of healthcare, mostly because the total amount governments spend on each individual only increases with life expectancy, as older people have more complex medical needs (Callahan 2009). 22 The promise of AI in medicine Our purposes here are inevitably, for the most part, critical, in the service of what we hope is the laudable goal of drawing attention to ethical and political problems that need to be addressed in order to maximise the benefits and minimise the risks from the application of AI in healthcare. It is therefore important that we clearly state at the outset our belief that AI does have tremendous promise when it comes to the goals of medicine. In particular, we anticipate that AI will ultimately produce significant benefits in the area of research, diagnosis, and medical administration. In this section, we also consider its potential to “rehumanise” medicine by facilitating more and better communication between physicians and patients. 2.1 AI for research Increasingly, research in biology and medicine involve generating, manipulating, and analysing large datasets. One of AI’s primary strengths is its ability to identify pat- terns in data, where these might escape human beings, and for this reason AI has extraordinary potential as a tool for medical research. AI is already being applied in research application in genomics, drug discovery and design, and to data mine EHR systems to identify novel and"
Research paper-1.pdf,"to identify pat- terns in data, where these might escape human beings, and for this reason AI has extraordinary potential as a tool for medical research. AI is already being applied in research application in genomics, drug discovery and design, and to data mine EHR systems to identify novel and clinically useful phenotypes and biomarkers of illness. Research on genomics is highly reliant on big data and sophisticated algorithms play a crucial role in genetic sequencing as well as in genome wide association studies. AI is being used to assist in the development of new drug compounds, through the prediction and identification of potentially productive and efficacious molecules. For instance, Deep Mind’s “Alphafold” AI uses machine learning to generate models of proteins based on their genetic sequences (AlQuraishi 2019). Additionally, AI has been applied for the purpose of data mining EHR systems to discover information relevant to individual patients as well as information about populations (Chen et al. 2017). There is also significant potential for AI to use novel sources of data, including that generated by mobile devices and individuals’ activity online, to generate new findings in public health. The uptake of AI for medical research has been more rapid than in clinical practice, due the more demanding regulatory regime that governs clinical applications of new technologies. The relative lack of regulatory oversight of research is one reason to be somewhat cautious about the claims made on behalf of AI. Another is the fact that, owing to the rate of rapid progress in the area, many of these claims have been made on the basis of papers that have appeared on prepress servers rather than in the refereed literature. It is also worth noting that research using AI often raises significant ethical issues relating to consent to the use of"
Research paper-1.pdf,"rapid progress in the area, many of these claims have been made on the basis of papers that have appeared on prepress servers rather than in the refereed literature. It is also worth noting that research using AI often raises significant ethical issues relating to consent to the use of data that have not always been handled well (Kahn 2019). Finally, it is important to acknowledge here that, despite its treatment in the popular press, AI isn’t magic. The findings based upon AI still rely on having good sources of data, a good understanding of data, good understanding of causal relations, and good experimental design. 2 Human error in the interpretation of an AI system’s result can lead even the most sophisticated AI astray. These reasons for caution when 2This is especially important given that the reasoning of most AI systems does not factor in causation: their results are based exclusively upon correlations contained within a dataset. 3it comes to some of the less critical claims about AI are, however, no reason to deny the general claim that AI is likely to contribute greatly to medical research over the next several decades. 2.2 AI for diagnosis Barely a week goes by without some new announcement about AI outperforming human physicians in some diagnostic task. In particular, ‘deep learning’ has shown sig- nificant potential for diagnosis in the context of medical imaging. For instance, there have been some promising results in the use of AI in diagnosing diabetic retinopathy (Gulshan et al. 2016), skin cancers (Esteva et al. 2017), and breast cancer (Golden 2017), among others. Consequently, medical disciplines that are heavily reliant upon the analysis of medical images are frequently considered to be most likely to be dis- rupted by the deployment of medical AI – dermatology, radiology, pathology, etc."
Research paper-1.pdf,"al. 2016), skin cancers (Esteva et al. 2017), and breast cancer (Golden 2017), among others. Consequently, medical disciplines that are heavily reliant upon the analysis of medical images are frequently considered to be most likely to be dis- rupted by the deployment of medical AI – dermatology, radiology, pathology, etc. Indeed, attempts are already being made to reorient these professions toward mod- ified roles and duties that enable a productive relationship between AI systems and clinicians (Jha and Topol 2016). Attempts have also been made to apply AI to diagnosis and treatment recommen- dation outside of medical imaging. A number of researchers are developing AI systems to work with clinical data produced by ECGs or medical monitoring devices used in ICUs in order to predict the future trajectory of patients’ conditions: in many ways such systems do not seem all that different to the kind of algorithmic medicine that has been practised in ICUs for the last several decades. However, some teams have much more ambitious agendas for AI. Notoriously, for instance, IBM’s Watson utilises both machine learning and natural language processing to trawl through the medical litera- ture in order to better recommend treatments for patients (Somashekhar et al. 2017). While initial reporting about Watson tended to be wildly enthusiastic, it is fair to say that subsequent commentary has been more mixed (Strickland et al. 2018). Neverthe- less, Watson is undoubtedly significant as an indicator of the scope of the ambitions that AI researchers have when it comes to the role that AI might play in medicine in the future. Indeed, some pundits are now imagining that AI will finally realise the long-heralded potential of “personalised medicine” by analysing the patient’s entire genome, as well as multiple lifestyle factors, before recommending treatment for their condition (Topol 2019). It is"
Research paper-1.pdf,"the role that AI might play in medicine in the future. Indeed, some pundits are now imagining that AI will finally realise the long-heralded potential of “personalised medicine” by analysing the patient’s entire genome, as well as multiple lifestyle factors, before recommending treatment for their condition (Topol 2019). It is important to note, though, that there is more excitement about the poten- tial of AI for diagnosis than actual clinical application. Most studies comparing the performance of clinicians and AI systems in diagnostic tasks have suffered from sig- nificant methodological limitations (Liu et al. 2019). As such, few of the promising results have been clinically validated. It’s one thing for an AI to replicate or exceed the performance of human beings at some classification task after access to a properly labelled dataset. It’s another for an AI to go transistor to toe with human beings in medical diagnosis as it happens in reality. 2.3 AI for admin AI also has lots of promise in an area that is less glamorous: medical administration. 4Computers and expert systems already play an important role in the complex scheduling tasks that are central to modern hospitals and healthcare systems, as well as in purchasing and billing systems, and medical data management more generally. AI will enable institutions to automate more of these business processes and to increase their efficiency. In the near future, AI systems will bill patients, roster staff, manage inventories, monitor employee performance, and schedule surgeries. As natural lan- guage interfaces improve, patients first contact with medical institutions may well be with an AI, which will make appointments for them, or direct them to the appropriate person to assist them with their enquiries. Another, related, area where AI looks set to have a large impact is in the insurance industry. The business"
Research paper-1.pdf,"patients first contact with medical institutions may well be with an AI, which will make appointments for them, or direct them to the appropriate person to assist them with their enquiries. Another, related, area where AI looks set to have a large impact is in the insurance industry. The business model of insurance industry is based around insurers being better able to identify, quantify, and manage risks than their clients. Because the large insurance agencies insure — and process claims from — millions of customers, they have correspondingly large datasets. If they can leverage AI to gain an improved understanding of risks and risk profiles, they will be able to improve their market share and/or profit margins by offering lower premiums. Of course, it is also possible that insurers might discover that it simply isn’t worth offering insurance to certain customers or classes of customers. In order to secure insurance, people with high medical needs, or poor risk profiles must be able to pool their risk with a larger group of people with lower risk profiles. However, the more accurately insurers are able to estimate risk, the more they are able to distinguish between different pools. Some individuals with complex medical conditions, or who are otherwise at high risk of requiring expensive treatment, may eventually find that the pools in which they are placed are small and include only other patients with similar risk profiles, with the result that they are unable to afford the premiums available to them (Price and Cohen 2019). AI is also likely to play a role in Managed Care. With more data on patients and the success rates of various treatments, managed care organisations will be better placed to estimate both the likelihood and probable extent of benefits to particular patients from particular treatments and"
Research paper-1.pdf,"and Cohen 2019). AI is also likely to play a role in Managed Care. With more data on patients and the success rates of various treatments, managed care organisations will be better placed to estimate both the likelihood and probable extent of benefits to particular patients from particular treatments and also the cost of providing them. AIs may effectively become the gatekeepers that determine who gets access to what care, when, and for how long. Indeed, there is evidence that this is already taking place (Lecher 2018). Patients are unlikely to be terribly enthusiastic about the applications of AI in these domains. Notwithstanding the amount of effort that is going into providing machines with emotional intelligence, the experience of dealing with AI is likely to be an impersonal one, and perhaps an alienating one. Even if AI systems are more efficient than existing telephone queues and institutional bureaucracies, patients are unlikely to feel empowered by their interactions with them. As we discuss further below, in some cases, they may well be disempowered. As we also discuss further below, the use of “black box” systems to determine who gets access to healthcare also raises questions about procedural justice and respect for persons. That being said, patients will also benefit from a more efficient allocation of healthcare resources as a result of the use of AI in medical administration. 52.4 AI for people It is by now widely acknowledged by clinicians that patients as individual persons have drifted to the periphery of medicine over the last half-century (Cassell 2002; Gawande 2014; Topol 2019). Treating the disease or disorder has now become the pri- mary focus. Many plausible explanations have been given for this phenomena: the rise of managed care (Mechanic and Schlesinger 1996), the creation of large and impersonal medical institutions, the"
