paper_id,title,year,abstract
P01,Artificial Intelligence in Healthcare Survey,2025,"What does Artificial Intelligence (AI) have to contribute to healthcare..."
P02,AI Implementation in Healthcare Systems,2025,"The landscape of healthcare is rapidly changing..."
P03,Semantic Web and Knowledge Graphs for Cyber Threat Intelligence,2024,"The amount of data related to cyber threats..."
P04,AI in Smart Healthcare Systems,2024,"Artificial Intelligence (AI) is transforming smart healthcare..."
P05,Digital Transformation in Corporate Finance,2024,"Digital transformation significantly impacts firm investment..."
P06,Cybersecurity Knowledge Graph Construction,2023,"Cyber-attack activities are complex and ever-changing..."
P07,Artificial Intelligence for Medicine 2025,2025,"AI helps us understand the complex medical phenotypes..."
P08,Social Engineering Ontology in Cybersecurity,2023,"Social engineering has posed a serious threat..."
P09,Machine Learning in Business and Finance,2023,"This study provides a comprehensive review..."
P10,Security and Privacy in Healthcare AI,2025,"The integration of artificial intelligence into healthcare systems..."
P11,XAI for Cybersecurity Review,2022,"XAI for Cybersecurity: State of the Art..."
P12,E-Finance and Artificial Intelligence,2023,"The finance sector has changed after integration of AI..."
P13,AI Against COVID-19,2022,"Artificial intelligence has been applied widely..."
P14,AI-Based Cybersecurity for Financial Systems,2023,"Cyber threats attempt to secure unauthorized access..."
P15,Explainable AI for Malware Detection,2024,"Machine learning has rapidly advanced in malware detection..."
