paper_id,title,abstract
Research paper-1,arXiv:2505.06971v1  [cs.CY]  11 May 2025,"Abstract
What does Artificial Intelligence (AI) have to contribute to health care? And
what should we be looking out for if we are worried about its risks? In this paper
we offer a survey, and initial evaluation, of hopes and fears about the applica-
tions of artificial intelligence in medicine. AI clearly has enormous potential as
a research tool, in genomics and public health especially, as well as a diagnostic
aid. It’s also highly likely to impact on the organisational and business practices
of healthcare systems in ways that are perhaps under-appreciated. Enthusiasts
for AI have held out the prospect that it will free physicians up to spend more
time attending to what really matters to them and their patients. We will argue
that this claim depends upon implausible assumptions about the institutional
and economic imperatives operating in contemporary healthcare settings. We
will also highlight important concerns about privacy, surveillance, and bias in big
data, as well as the risk"
Research paper-10,Review began 01/17/2025,"Abstract
The landscape of healthcare is rapidly changing with the increasing usage of machine and deep learning
artificial intelligence and digital tools to assist in various sectors. This study aims to analyze the feasibility
of the implementation of artificial intelligence (AI) models into healthcare systems. This review included
English-language publications from databases such as SCOPUS, PubMed, and Google Scholar between 2000
and 2024. AI integration in healthcare systems will assist in large-scale dataset analysis, access to healthcare
information, surgery data and simulation, and clinical decision-making in addition to many other
healthcare services. However, with the reliance on AI, issues regarding medical liability, cybersecurity, and
health disparities can form. This necessitates updates and transparency on health policy, AI training, and
cybersecurity measures. To support the implementation of AI in healthcare, transparency regarding AI
algorithm training and analytical app"
Research paper-11,,"Abstract: The amount of data related to cyber threats and cyber attack incidents is rapidly increasing.
The extracted information can provide security analysts with useful Cyber Threat Intelligence (CTI)
to enhance their decision-making. However, because the data sources are heterogeneous, there is
a lack of common representation of information, rendering the analysis of CTI complicated. With
this work, we aim to review ongoing research on the use of semantic web tools such as ontologies
and Knowledge Graphs (KGs) within the CTI domain. Ontologies and KGs can effectively represent
information in a common and structured schema, enhancing interoperability among the Security
Operation Centers (SOCs) and the stakeholders on the field of cybersecurity. When fused with
Machine Learning (ML) and Deep Learning (DL) algorithms, the constructed ontologies and KGs can
be augmented with new information and advanced inference capabilities, facilitating the discovery
of previously unknown CTI. This"
Research paper-12,Academic Editor: Matthew Chin,"Abstract
Artificial Intelligence (AI) is transforming smart healthcare by enhancing diagnostic preci-
sion, automating clinical workflows, and enabling personalized treatment strategies. This
review explores the current landscape of AI in healthcare from two key perspectives: capa-
bility types (e.g., Narrow AI and AGI) and functional architectures (e.g., Limited Memory
and Theory of Mind). Based on capabilities, most AI systems today are categorized as
Narrow AI, performing specific tasks such as medical image analysis and risk prediction
with high accuracy. More advanced forms like General Artificial Intelligence (AGI) and
Superintelligent AI remain theoretical but hold transformative potential. From a functional
standpoint, Limited Memory AI dominates clinical applications by learning from historical
patient data to inform decision-making. Reactive systems are used in rule-based alerts,
while Theory of Mind (ToM) and Self-Aware AI remain conceptual stages for future devel-
opment. T"
Research paper-13,Digital transformation: A systematic review and bibliometric,"Abstract: Digital transformation significantly impacts firm investment, financing, 
and value enhancement. A systematic investigation from the corporate finance 
perspective has not yet been formed. This paper combines bibliometric and content 
analysis methods to systematically review the evolutionary trend, status quo, hotspots 
and overall structure of research in digital transformation from 2011 to 2024. The study 
reveals an emerging and rapidly growing focus on digital transformation research, 
particularly in developed countries. We categorize the literature into three areas 
according to bibliometric clustering: the measurements (qualitative and quantitative), 
impact factors (internal and external), and the economic consequences (investment, 
financing, and firm value). These areas are divided into ten sub-branches, with a 
detailed literature review. We also review the existing theories related to digital 
transformation, identify the current gaps in these papers, and provide"
Research paper-14,Complex & Intelligent Systems,"Abstract
Cyber-attack activities are complex and ever-changing, posing severe challenges to cybersecurity personnel. Introducing
knowledge graphs into the ﬁeld of cybersecurity helps depict the intricate cybersecurity landscape and provides technical
support for threat identiﬁcation and situational awareness. However, during the process of constructing knowledge graphs,
inevitable noise and conﬂicts may be introduced, leading to misleading inferences and decisions. This paper aims to address
the issues of constructing and assessing the quality of cybersecurity knowledge graphs. We manually constructed a dataset
of cybersecurity knowledge graphs (CS13K) and expanded the existing cybersecurity ontology, building a more versatile
ontology applicable to existing data features. Building upon this, we utilized Neo4j to construct the cybersecurity knowledge
graph. Furthermore, we propose an AttTucker model, based on Transformer, for assessing the quality of knowledge graphs.
By employing nume"
Research paper-15,,"ABSTRACT
PUBLIC SUMMARY
■    AI helps us understand the complex medical phenotypes and diverse data.
■   AI forecasts the forthcoming medical innovations in surgical robots and BCI.
■   AI will solve the low birth rate and aging population challenges of human beings.
Medicine
   
REVIEW
The Innovation Medicine 3(1): 100120, February 27, 2025　　　  1
 
Artificial intelligence for medicine 2025:
Navigating the endless frontier
Ji Dai,1,17 Huiyu Xu,2,17 Tao Chen,3,4,17 Tao Huang,5,17,* Weiqi Liang,4 Rui Zhang,6 Gengxin Xu,6 Zhiting Zhang,1 Le Xue,7 Yi Gao,8 Mingyue Zheng,9
Guoshuang Feng,10 Zhe Zhang,11,12 Jinle Tang,11,12 Jian Zhan,11,12 Yaoqi Zhou,11,12,* Ye Li,6,* Yixue Li,5,13,14,* and Mei Tian15,16,*
 1Shenzhen Technological Research Center for Primate Translational Medicine, Shenzhen-Hong Kong Institute of Brain Science,
Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen 518055, China
 2Center for Reproductive Medicine, Department of Obstetrics and Gynec"
Research paper-2,Cybersecurity,"Abstract
Social engineering has posed a serious threat to cyberspace security. To protect against social engineering attacks, a
fundamental work is to know what constitutes social engineering. This paper first develops a domain ontology of
social engineering in cybersecurity and conducts ontology evaluation by its knowledge graph application. The
domain ontology defines 11 concepts of core entities that significantly constitute or affect social engineering domain,
together with 22 kinds of relations describing how these entities related to each other. It provides a formal and explicit
knowledge schema to understand, analyze, reuse and share domain knowledge of social engineering. Furthermore,
this paper builds a knowledge graph based on 15 social engineering attack incidents and scenarios. 7 knowledge
graph application examples (in 6 analysis patterns) demonstrate that the ontology together with knowledge graph is
useful to 1) understand and analyze social engineering attack scenario a"
Research paper-3,Open Access,"Abstract 
This study provides a comprehensive review of machine learning (ML) applications 
in the fields of business and finance. First, it introduces the most commonly used ML 
techniques and explores their diverse applications in marketing, stock analysis, demand 
forecasting, and energy marketing. In particular, this review critically analyzes over 100 
articles and reveals a strong inclination toward deep learning techniques, such as deep 
neural, convolutional neural, and recurrent neural networks, which have garnered 
immense popularity in financial contexts owing to their remarkable performance. This 
review shows that ML techniques, particularly deep learning, demonstrate substantial 
potential for enhancing business decision-making processes and achieving more accu‑
rate and efficient predictions of financial outcomes. In particular, ML techniques exhibit 
promising research prospects in cryptocurrencies, financial crime detection, and mar‑
keting, underscoring the extensive"
Research paper-4,arXiv:2409.07415v2  [cs.CR]  30 Apr 2025,"Abstract
The integration of artiﬁcial intelligence (AI) and machine
learning (ML) into healthcare systems holds great promise
for enhancing patient care and care delivery efﬁciency; how-
ever, it also exposes sensitive data and system integrity to
potential cyberattacks. Current security and privacy (S&P)
research on healthcare AI is highly unbalanced in terms of
healthcare deployment scenarios and threat models, and has
a disconnected focus with the biomedical research commu-
nity.
This hinders a comprehensive understanding of the
risks that healthcare AI entails. To address this gap, this pa-
per takes a thorough examination of existing healthcare AI
S&P research, providing a uniﬁed framework that allows the
identiﬁcation of under-explored areas. Our survey presents
a systematic overview of healthcare AI attacks and defenses,
and points out challenges and research opportunities for each
AI-driven healthcare application domain. Through our ex-
perimental analysis of different threat m"
